stop_id,graph_degree,Degree,Closeness,Betweenness,in_largest_component,stop_name,stop_lat,stop_lon,is_hub,route_count,routes_serving,max_pax_per_vehicle_hour_2024_serving_route
6275,2,0.0002390057361376673,0.03944227573665916,0.0011681378658789916,True,Willowdale Ave at Sheppard Ave East,43.76418,-79.399859,False,1,98,
3856,10,0.0011950286806883365,0.04470880673112529,0.008550469454653943,True,Sheppard-Yonge Station at Bus Bay 4A,43.761702,-79.411916,False,1,98,
9845,2,0.0002390057361376673,0.04110842603981035,0.0023884605096509,True,Senlac Rd at Sheppard Ave West North Side,43.759497,-79.422696,False,1,98,
2217,2,0.0002390057361376673,0.03949030769678199,0.0022689433589397727,True,Senlac Rd at Elmhurst Ave,43.760422,-79.423089,False,1,98,
7880,2,0.0002390057361376673,0.03799475049273011,0.002149426208228646,True,Senlac Rd at Burnett Ave,43.761974,-79.423756,False,1,98,
2410,2,0.0002390057361376673,0.03660833781233307,0.002029909057517519,True,Senlac Rd at York Cemetery,43.76448,-79.424811,False,1,98,
10076,2,0.0002390057361376673,0.035319542366445605,0.0019103919068063917,True,Senlac Rd at Park Home Ave North Side,43.766951,-79.425864,False,1,98,
5533,2,0.0002390057361376673,0.03411840493363384,0.0017908747560952648,True,Senlac Rd at Ellerslie Ave,43.768497,-79.426524,False,1,98,
7411,2,0.0002390057361376673,0.03299627649739235,0.001671357605384138,True,Senlac Rd at Churchill Ave,43.76998,-79.427339,False,1,98,
8353,2,0.0002390057361376673,0.031945609648534094,0.001551840454673011,True,Senlac Rd at Hounslow Ave North Side,43.772681,-79.428489,False,1,98,
5793,2,0.0002390057361376673,0.030959788610711702,0.001432323303961884,True,Senlac Rd at Lurgan Dr,43.774386,-79.429243,False,1,98,
6059,2,0.0002390057361376673,0.03003298979563263,0.001312806153250757,True,Finch Station,43.775862,-79.429872,True,1,98,
4990,2,0.0002390057361376673,0.029160066676448018,0.00119328900253963,True,Finch Station,43.776728,-79.431788,True,1,98,
6558,2,0.0002390057361376673,0.02833645417132662,0.001073771851828503,True,Grantbrook St at Hendon Ave,43.77799,-79.432092,False,1,98,
7497,2,0.0002390057361376673,0.027558088785778815,0.0009542547011173759,True,Grantbrook St at Blake Ave North Side,43.779984,-79.432596,False,1,98,
2344,2,0.0002390057361376673,0.02682134156463251,0.0008347375504062489,True,Grantbrook St at Charlton Blvd,43.781063,-79.432785,False,1,98,
8301,2,0.0002390057361376673,0.026122961518877077,0.0007152203996951219,True,Grantbrook St at Drewry Ave,43.783212,-79.433555,False,1,98,
2175,2,0.0002390057361376673,0.025460027666598047,0.0005957032489839948,True,Cactus Ave at Drewry Ave North Side,43.784461,-79.431457,False,1,98,
8515,2,0.0002390057361376673,0.024829908195649786,0.00047618609827286773,True,Cactus Ave at Connaught Ave,43.786105,-79.432148,False,1,98,
6389,2,0.0002390057361376673,0.024230225544055194,0.0003566689475617407,True,Cactus Ave at Homewood Ave,43.787839,-79.432814,False,1,98,
1378,2,0.0002390057361376673,0.023658826421266373,0.00023715179685061366,True,Cactus Ave at Pleasant Ave,43.789617,-79.433211,False,1,98,
5372,2,0.0002390057361376673,0.023113755973466363,0.00011763464613948657,True,111 Cactus Ave,43.791796,-79.433834,False,1,98,
42908,5,0.0005975143403441683,0.04069948984875164,0.0011408761074382064,True,Keele Station,43.69066,-79.474799,True,1,164,
42888,2,0.0002390057361376673,0.037996829217082875,0.00142131308649094,True,Keele Station,43.699483,-79.4753,True,1,164,
42887,2,0.0002390057361376673,0.03592968664618361,0.0002074120552966017,True,Kincort St at Castlefield Ave,43.697024,-79.46812,False,1,164,
42885,2,0.0002390057361376673,0.03549569630873918,0.00015761324250029876,True,Castlefield Ave at Caledonia Rd,43.698317,-79.463737,False,1,164,
42883,2,0.0002390057361376673,0.035493428744400125,0.00014964543245289032,True,Castlefield Ave at Ronald Ave,43.698795,-79.459527,False,1,164,
42910,2,0.0002390057361376673,0.0359185373032715,0.00018550057766622842,True,1196 Castlefield Ave,43.699855,-79.455567,False,1,164,
42880,2,0.0002390057361376673,0.03652442856347867,0.0002430182064459583,True,Dufferin Station,43.700628,-79.45198,True,1,164,
42879,2,0.0002390057361376673,0.037544924141587444,0.00032443926536791367,True,Roselawn Ave at Beograd Gardens,43.701052,-79.446411,False,1,164,
2807,2,0.0002390057361376673,0.023765286788645156,0.000485307489610107,True,Finch Station,43.82041,-79.209342,True,1,39,
2806,2,0.0002390057361376673,0.02429018264582027,0.0006048246403212341,True,Finch Station,43.819746,-79.212238,True,1,39,
2828,2,0.0002390057361376673,0.024849897983835623,0.0007243417910323611,True,Finch Station,43.819212,-79.214629,True,1,39,
3668,2,0.0002390057361376673,0.026263900164594216,9.255017322424997e-05,True,Finch Station,43.816521,-79.227338,True,1,39,
42599,2,0.0002390057361376673,0.026910111225185978,0.0002001156088642643,True,Finch Station,43.815531,-79.231326,True,1,39,
7897,2,0.0002390057361376673,0.03701843601233442,0.000991273408709599,True,Gerrard St East at Osborne Ave,43.684444,-79.297542,False,1,135,
445,2,0.0002390057361376673,0.035703264587464374,0.0008777321155340283,True,Gerrard St East at Malvern Ave,43.685056,-79.294792,False,1,135,
1915,2,0.0002390057361376673,0.03448047618907863,0.0007701666798940141,True,Gerrard St East at Scarborough Rd,43.68611,-79.28993,False,1,135,
8754,2,0.0002390057361376673,0.033340939240566136,0.0006626012442539998,True,Gerrard St East at Victoria Park Ave,43.686811,-79.286674,False,1,135,
8849,2,0.0002390057361376673,0.032275688135921646,0.0005550358086139853,True,Gerrard St East at Blantyre Ave East Side,43.687475,-79.283636,False,1,135,
7081,2,0.0002390057361376673,0.031281330131629044,0.00044747037297397093,True,Gerrard St East at Rathmore Ave,43.688041,-79.280959,False,1,135,
5361,2,0.0002390057361376673,0.030353483447800794,0.0003399049373339566,True,Gerrard St East at Clonmore Dr,43.688532,-79.278699,False,1,135,
9106,2,0.0002390057361376673,0.02956516099120879,0.0002383153592294986,True,Clonmore Dr at Queensbury Ave,43.690487,-79.276666,False,1,135,
4724,2,0.0002390057361376673,0.029337651013397515,0.0001636171400350442,True,Clonmore Dr at Cornell Ave,43.691478,-79.275328,False,1,135,
6291,3,0.0003585086042065009,0.03323033276578921,0.0004180579323999904,True,Bloor Station,43.642903,-79.53091,True,2,"149,300",
6335,2,0.0002390057361376673,0.03285384371951303,0.0003642752145799833,True,Bloor Station,43.644156,-79.525224,True,2,"149,300",
9450,2,0.0002390057361376673,0.03218817893188861,5.74820581991611e-05,True,Bloor Station,43.645392,-79.519755,True,2,"149,300",
18839,2,0.0002390057361376673,0.03179667054424531,2.319201853084965e-05,True,Bloor Station,43.646546,-79.514834,True,2,"149,300",
7781,2,0.0002390057361376673,0.03246946323270805,9.049155696699619e-05,True,Bloor Station,43.647202,-79.511546,True,2,"149,300",
